778,61,24,162.416382
892,63,24,154.090759
839,61,24,124.197090
1062,53,24,162.847382
712,65,24,167.067429
604,71,24,159.306351
931,66,24,152.397202
1140,78,24,122.564789
988,70,24,147.582993
1193,69,24,162.187027
1295,85,24,176.485138
1410,92,24,151.579376
1580,81,24,166.332184
1618,108,24,167.420563
885,115,24,109.504738
743,117,24,180.162781
669,124,24,166.768936
543,131,24,139.576279
1426,139,24,150.759140
871,154,24,161.521851
784,171,24,163.260696
646,174,24,98.011955
1200,179,24,187.663681
478,216,24,141.163300
961,218,24,95.246040
1391,208,24,64.633469
739,235,24,162.550705
896,232,24,188.177368
527,255,24,58.438648
571,267,24,146.032120
1374,258,24,177.537689
787,285,24,162.659363
1030,277,24,209.653519
725,292,24,170.340317
1178,288,24,124.805679
1228,326,24,147.057541
909,339,24,194.469559
953,346,24,140.180389
1037,360,24,199.400726
1074,369,24,146.539749
629,543,24,32.177704
668,67,29,150.101379
509,69,29,138.280762
1241,73,29,182.773041
1455,74,29,152.723862
165,90,29,129.870224
455,77,29,126.524910
368,83,29,152.923538
1357,79,29,144.557159
1513,87,29,184.379883
325,96,29,170.505066
262,98,29,110.161537
951,98,29,135.052567
1018,105,29,87.669838
1166,113,29,97.698372
1093,105,29,173.103729
1651,109,29,97.669983
1750,113,29,185.095566
204,116,29,108.897308
1697,112,29,177.449692
439,129,29,165.090469
607,122,29,159.767197
806,119,29,107.752869
1355,124,29,106.645401
1230,121,29,114.380920
1300,124,29,112.091087
373,135,29,81.163910
500,143,29,139.836044
1461,148,29,132.743118
1788,143,29,177.724899
319,165,29,172.324829
712,160,29,145.228149
1002,161,29,148.296814
1068,166,29,116.552681
1123,156,29,189.777710
1594,155,29,168.071854
1523,153,29,127.110672
1557,163,29,176.589294
1639,161,29,188.379532
578,180,29,210.842560
515,192,29,227.448044
423,203,29,158.667206
1328,201,29,105.705627
1432,205,29,204.989380
1489,206,29,146.741364
332,222,29,35.430645
857,215,29,117.178810
625,226,29,155.645432
795,225,29,127.554062
1021,212,29,153.027985
1077,219,29,170.561279
1145,212,29,162.619492
1260,221,29,128.515274
1538,222,29,153.724579
385,230,29,162.456146
678,232,29,130.502258
1199,231,29,111.473335
1323,238,29,139.458527
1592,254,29,144.275406
1423,259,29,132.505203
482,267,29,156.682465
1102,282,29,96.272179
1506,280,29,167.404449
373,286,29,171.871887
449,288,29,109.758286
1445,294,29,160.412323
852,313,29,193.632721
664,305,29,145.291809
567,318,29,112.211128
1267,310,29,169.188751
1530,313,29,128.292191
1579,323,29,194.173462
988,339,29,130.699188
1322,324,29,171.013672
1373,330,29,161.024506
1418,355,29,169.981079
734,374,29,103.157707
848,374,29,206.695084
1129,374,29,184.670975
1255,380,29,214.743240
663,397,29,183.892212
789,381,29,135.207214
1313,395,29,127.612679
1184,381,29,208.484253
612,408,29,132.805054
523,435,29,145.584473
1375,423,29,143.655212
1520,506,29,137.269287
141,114,34,96.632736
210,170,34,160.404663
256,163,34,155.847610
1682,176,34,200.270523
1570,221,34,74.856171
272,232,34,105.576279
1631,249,34,121.995209
494,333,34,196.063339
319,319,34,157.204102
1607,364,34,170.261398
1449,370,34,151.009460
570,409,34,153.123978
1408,435,34,153.465714
479,453,34,184.440048
1439,469,34,107.299171
425,477,34,195.504669
1484,486,34,148.375488
